,time,corr_flux,pca_flux,psf_flux,flux_err,time_flag,sector
0,1325.3281254060398,0,0,0,0,0,1
1,1325.34895921698,1,1,1,1,0,1
2,1325.369793027343,2,2,2,2,0,1
3,1325.3906268368924,3,3,3,3,0,1
4,1325.4114606453995,4,4,4,4,0,1
5,1325.4322944526402,5,5,5,5,0,1
6,1325.4531282584032,6,6,6,6,0,1
7,1325.4739620624941,7,7,7,7,0,1
8,1325.4947958647356,8,8,8,8,0,1
9,1325.5156296649757,9,9,9,9,0,1
10,1325.536463463084,10,10,10,10,0,1
11,1325.5572972589575,11,11,11,11,0,1
12,1325.5781310525256,12,12,12,12,0,1
13,1325.59896484374,13,13,13,13,0,1
14,1325.619798632591,14,14,14,14,0,1
15,1325.640632419096,15,15,15,15,4096,1
16,1325.6614662033037,16,16,16,16,0,1
17,1325.6822999852925,17,17,17,17,0,1
18,1325.703133765168,18,18,18,18,0,1
19,1325.7239675430656,19,19,19,19,0,1
20,1325.744801319142,20,20,20,20,0,1
21,1325.7656350935767,21,21,21,21,0,1
22,1325.7864688665688,22,22,22,22,0,1
23,1325.80730263833,23,23,23,23,0,1
24,1325.8281364090856,24,24,24,24,0,1
25,1325.8489701790675,25,25,25,25,0,1
26,1325.8698039485105,26,26,26,26,0,1
27,1325.8906377176504,27,27,27,27,0,1
28,1325.9114714867167,28,28,28,28,0,1
29,1325.9323052559344,29,29,29,29,0,1
30,1325.9531390255106,30,30,30,30,0,1
31,1325.9739727956387,31,31,31,31,128,1
32,1325.9948065664958,32,32,32,32,0,1
33,1326.0156403382316,33,33,33,33,0,1
34,1326.036474110975,34,34,34,34,0,1
35,1326.0573078848256,35,35,35,35,0,1
36,1326.0781416598559,36,36,36,36,0,1
37,1326.0989754361065,37,37,37,37,0,1
38,1326.1198092135867,38,38,38,38,0,1
39,1326.1406429922788,39,39,39,39,0,1
40,1326.1614767721314,40,40,40,40,0,1
41,1326.1823105530639,41,41,41,41,0,1
42,1326.2031443349663,42,42,42,42,0,1
43,1326.2239781177047,43,43,43,43,0,1
44,1326.244811901119,44,44,44,44,0,1
45,1326.2656456850275,45,45,45,45,0,1
46,1326.2864794692343,46,46,46,46,0,1
47,1326.307313253523,47,47,47,47,0,1
48,1326.3281470376683,48,48,48,48,4096,1
49,1326.3489808214388,49,49,49,49,128,1
50,1326.3698146045983,50,50,50,50,0,1
51,1326.3906483869123,51,51,51,51,0,1
52,1326.4114821681503,52,52,52,52,0,1
53,1326.4323159480923,53,53,53,53,0,1
54,1326.4531497265275,54,54,54,54,0,1
55,1326.4739835032622,55,55,55,55,4096,1
56,1326.494817278126,56,56,56,56,0,1
57,1326.5156510509655,57,57,57,57,0,1
58,1326.536484821657,58,58,58,58,0,1
59,1326.5573185901003,59,59,59,59,0,1
60,1326.5781523562255,60,60,60,60,0,1
61,1326.5989861199946,61,61,61,61,0,1
62,1326.6198198813963,62,62,62,62,0,1
63,1326.6406536404545,63,63,63,63,0,1
64,1326.6614873972212,64,64,64,64,0,1
65,1326.6823211517794,65,65,65,65,128,1
66,1326.703154904238,66,66,66,66,0,1
67,1326.7239886547356,67,67,67,67,128,1
