,time_flag
0,True
1,True
2,True
3,True
4,True
5,True
6,True
7,True
8,True
9,True
10,True
11,True
12,True
13,True
14,True
15,False
16,True
17,True
18,True
19,True
20,True
21,True
22,True
23,True
24,True
25,True
26,True
27,True
28,True
29,True
30,True
31,False
32,True
33,True
34,True
35,True
36,True
37,True
38,True
39,True
40,True
41,True
42,True
43,True
44,True
45,True
46,True
47,True
48,False
49,False
50,True
51,True
52,True
53,True
54,True
55,False
56,True
57,True
58,True
59,True
60,True
61,True
62,True
63,True
64,True
65,False
66,True
67,False
68,True
69,True
70,True
71,True
72,True
73,True
74,True
75,True
76,True
77,True
78,True
79,True
80,False
81,True
82,True
83,False
84,True
85,True
86,False
87,False
88,False
89,True
90,False
91,True
92,False
93,False
94,True
95,True
96,False
97,False
98,False
99,True
100,True
101,False
102,True
103,True
104,True
105,True
106,True
107,True
108,False
109,True
110,True
111,True
112,False
113,False
114,True
115,True
116,False
117,True
118,False
119,True
120,False
121,False
122,True
123,True
124,True
125,True
126,True
127,True
128,True
129,True
130,True
131,True
132,True
133,True
134,True
135,True
136,True
137,True
138,True
139,True
140,True
141,True
142,True
143,True
144,True
145,True
146,True
147,True
148,True
149,True
150,True
151,True
152,False
153,True
154,True
155,True
156,True
157,True
158,True
159,True
160,True
161,True
162,True
163,True
164,True
165,True
166,False
167,True
168,True
169,True
170,True
171,False
172,True
173,True
174,True
175,True
176,True
177,True
178,True
179,True
180,True
181,False
182,True
183,True
184,False
185,False
186,False
187,True
188,False
189,True
190,True
191,False
192,True
193,True
194,True
195,False
196,True
197,False
198,True
199,False
200,True
201,True
202,False
203,True
204,True
205,True
206,True
207,True
208,False
209,False
210,True
211,False
212,True
213,True
214,True
215,True
216,True
217,True
218,True
219,True
220,False
221,False
222,True
223,False
224,False
225,False
226,False
227,False
228,False
229,True
230,False
231,True
232,False
233,False
234,False
235,False
236,False
237,False
238,True
239,True
240,False
241,False
242,True
243,True
244,True
245,True
246,True
247,True
248,True
249,True
250,True
251,True
252,True
253,True
254,True
255,True
256,True
257,True
258,True
259,True
260,True
261,True
262,True
263,True
264,True
265,True
266,True
267,True
268,True
269,True
270,True
271,True
272,True
273,True
274,True
275,True
276,True
277,True
278,True
279,True
280,True
281,True
282,False
283,False
284,True
285,True
286,True
287,True
288,False
289,True
290,False
291,True
292,True
293,True
294,True
295,True
296,True
297,False
298,True
299,False
300,False
301,True
302,True
303,False
304,True
305,False
306,True
307,False
308,True
309,True
310,False
311,False
312,True
313,False
314,True
315,True
316,True
317,False
318,True
319,False
320,False
321,False
322,False
323,True
324,True
325,False
326,True
327,True
328,True
329,True
330,False
331,False
332,False
333,True
334,True
335,False
336,False
337,False
338,False
339,True
340,False
341,False
342,True
343,False
344,True
345,False
346,True
347,True
348,False
349,True
350,False
351,True
352,False
353,False
354,True
355,True
356,False
357,True
358,True
359,False
360,False
361,False
362,True
363,True
364,True
365,True
366,True
367,True
368,True
369,True
370,True
371,True
372,True
373,True
374,True
375,True
376,True
377,True
378,True
379,True
380,True
381,True
382,True
383,True
384,True
385,True
386,True
387,True
388,False
389,True
390,True
391,True
392,True
393,True
394,True
395,True
396,True
397,True
398,True
399,True
400,True
401,True
402,True
403,True
404,True
405,True
406,True
407,True
408,True
409,True
410,True
411,True
412,True
413,True
414,False
415,True
416,True
417,True
418,True
419,True
420,True
421,True
422,True
423,True
424,True
425,True
426,True
427,True
428,True
429,True
430,True
431,False
432,True
433,False
434,True
435,False
436,True
437,True
438,True
439,True
440,True
441,True
442,True
443,True
444,True
445,False
446,True
447,True
448,True
449,False
450,True
451,True
452,True
453,True
454,True
455,True
456,True
457,True
458,True
459,True
460,True
461,False
462,True
463,False
464,False
465,False
466,False
467,True
468,True
469,True
470,True
471,False
472,False
473,True
474,True
475,True
476,True
477,True
478,True
479,True
480,False
481,False
482,True
483,True
484,False
485,True
486,True
487,False
488,True
489,True
490,True
491,True
492,False
493,False
494,True
495,False
496,True
497,True
498,True
499,True
500,True
501,True
502,True
503,True
504,True
505,True
506,True
507,True
508,True
509,True
510,True
511,True
512,True
513,True
514,True
515,True
516,True
517,True
518,True
519,False
520,True
521,True
522,True
523,True
524,True
525,True
526,True
527,True
528,True
529,True
530,True
531,True
532,True
533,True
534,True
535,True
536,True
537,True
538,True
539,True
540,True
541,False
542,True
543,True
544,True
545,True
546,False
547,False
548,True
549,True
550,True
551,True
552,True
553,True
554,True
555,True
556,True
557,True
558,True
559,True
560,True
561,True
562,True
563,True
564,True
565,True
566,True
567,True
568,True
569,True
570,True
571,True
572,True
573,True
574,True
575,True
576,True
577,False
578,True
579,True
580,True
581,True
582,False
583,False
584,False
585,True
586,True
587,True
588,True
589,True
590,False
591,True
592,True
593,False
594,True
595,True
596,False
597,True
